# name ra dec DM
010724 01 18 00 -75 12 00 375
010621 18 52 00 -08 29 00 746
110220 22 34 00 -12 24 00 944.38
110627 21 03 00 -44 44 00 723.0
110703 23 30 00 -02 52 00 1103.6
120127 23 15 00 -18 25 00 553.3
011025 19 07 00 -40 37 00 790
121002 18 14 00 -85 11 00 1628.76
131104 06 44 00 -51 17 00 779.0
140514 22 34 00 -12 18 00 562.7
090625 03 07 00 -29 55 00 899.6
130626 16 27 00 -07 27 00 952.4
130628 09 03 00 +03 26 00 469.88
130729 13 41 00 -05 59 00 861
110523 21 45 00 -00 12 00 623.30
150418 07 16 00 −19 00 00 776.2
